series_name,series_order,model_name,model_slug,variant_type,model_order,capacity,swap_in_value_ngn,uk_end_user_price_ngn,uk_reseller_price_ngn,ng_end_user_price_ngn,ng_reseller_price_ngn
6,0,iPhone 6,iphone-6,standard,0,16GB,55000,95000,45000,65000,60000
6,0,iPhone 6,iphone-6,standard,0,32GB,60000,100000,50000,70000,65000
6,0,iPhone 6,iphone-6,standard,0,64GB,65000,105000,55000,75000,70000
6,0,iPhone 6,iphone-6,standard,0,128GB,70000,115000,65000,80000,75000
6,0,iPhone 6 Plus,iphone-6-plus,plus,1,16GB,60000,100000,50000,70000,65000
6,0,iPhone 6 Plus,iphone-6-plus,plus,1,64GB,70000,115000,65000,80000,75000
6,0,iPhone 6 Plus,iphone-6-plus,plus,1,128GB,75000,125000,75000,85000,80000
6,0,iPhone 6s,iphone-6s,s,2,16GB,65000,105000,55000,75000,70000
6,0,iPhone 6s,iphone-6s,s,2,32GB,65000,110000,60000,75000,70000
6,0,iPhone 6s,iphone-6s,s,2,64GB,70000,120000,70000,80000,75000
6,0,iPhone 6s,iphone-6s,s,2,128GB,80000,130000,80000,95000,90000
6,0,iPhone 6s Plus,iphone-6s-plus,s-plus,3,16GB,65000,110000,60000,75000,70000
6,0,iPhone 6s Plus,iphone-6s-plus,s-plus,3,32GB,70000,120000,70000,80000,75000
6,0,iPhone 6s Plus,iphone-6s-plus,s-plus,3,64GB,80000,130000,80000,95000,90000
6,0,iPhone 6s Plus,iphone-6s-plus,s-plus,3,128GB,85000,145000,95000,100000,95000
7,1,iPhone 7,iphone-7,standard,0,32GB,80000,135000,85000,95000,90000
7,1,iPhone 7,iphone-7,standard,0,128GB,95000,155000,105000,110000,105000
7,1,iPhone 7,iphone-7,standard,0,256GB,100000,170000,120000,115000,110000
7,1,iPhone 7 Plus,iphone-7-plus,plus,1,32GB,90000,150000,100000,105000,100000
7,1,iPhone 7 Plus,iphone-7-plus,plus,1,128GB,100000,170000,120000,115000,110000
7,1,iPhone 7 Plus,iphone-7-plus,plus,1,256GB,115000,190000,140000,130000,125000
8,2,iPhone 8,iphone-8,standard,0,64GB,110000,180000,130000,125000,120000
8,2,iPhone 8,iphone-8,standard,0,128GB,120000,200000,150000,135000,130000
8,2,iPhone 8,iphone-8,standard,0,256GB,135000,225000,175000,160000,150000
8,2,iPhone 8 Plus,iphone-8-plus,plus,1,64GB,125000,205000,155000,145000,140000
8,2,iPhone 8 Plus,iphone-8-plus,plus,1,128GB,140000,230000,180000,165000,155000
8,2,iPhone 8 Plus,iphone-8-plus,plus,1,256GB,140000,230000,205000,165000,155000
X,3,iPhone X,iphone-x,standard,0,64GB,150000,250000,200000,175000,165000
